"File","Line","Type","Text","Prev","Next"
"ai-ml\architecture\analyze-video-computer-vision-machine-learning-content.md","17","custom-vision-comparison","6. The logic app calls a pretrained custom vision model to identify objects, features, or qualities in the images. Alternatively or additionally, it calls a computer vision (optical character recognition (OCR)) model to identify textual information in the images.","5. A preconfigured logic app that monitors Data Lake Storage detects that new images are being uploaded. It starts a workflow.","7. Results are received in JSON format. The logic app parses the results and creates key-value pairs. You can store the results in Azure dedicated SQL pools that are provisioned by Azure Synapse Analytics."
"ai-ml\architecture\analyze-video-computer-vision-machine-learning-content.md","29","service-reference","- [Computer Vision](/azure/ai-services/computer-vision/overview) is part of [Azure AI services](/azure/ai-services/what-are-ai-services). It provides tools to extract information from images. In this architecture, it analyzes the extracted frames and identifies objects and features. It can also retrieve text via OCR.","",""
"ai-ml\architecture\analyze-video-computer-vision-machine-learning-content.md","31","custom-vision-comparison","- [Custom Vision](/azure/ai-services/custom-vision-service/overview) enables you to customize and embed state-of-the-art computer vision image analysis for your specific domains. In this architecture, it identifies domain-specific objects or qualities in the extracted video frames.","",""
"ai-ml\architecture\analyze-video-computer-vision-machine-learning-content.md","65","inline","A video recording can be separated into individual frames so that various technologies can analyze the images. One such technology is *computer vision*: the capability of a computer to identify objects and entities on an image.","",""
"ai-ml\architecture\analyze-video-computer-vision-machine-learning-content.md","67","inline","With computer vision, monitoring video footage becomes automatized, standardized, and potentially more accurate. A computer vision model can be trained, and, depending on the use case, you can frequently get results that are at least as good as those of the person who trained the model. By using [Machine Learning Operations (MLOps)](/azure/machine-learning/concept-model-management-and-deployment) to improve the model continuously, you can expect better results over time, and react to changes in the video data over time.","",""
"ai-ml\architecture\analyze-video-computer-vision-machine-learning-content.md","79","inline","- **Quality assurance.** Monitor and analyze quality control in a manufacturing facility. By installing cameras on the production line, you can train a computer vision model to detect anomalies.","",""
"ai-ml\architecture\analyze-video-computer-vision-machine-learning.yml","4","metadata","description: Learn how to implement an architecture that automates video analysis by using Azure Machine Learning and Computer Vision.","title: Video Analysis by Using Azure Machine Learning","author: oscarsk91"
"ai-ml\architecture\analyze-video-computer-vision-machine-learning.yml","23","metadata","name: Perform video analysis by using Azure Machine Learning and Computer Vision","- azure-data-lake-storage","summary: Learn how to implement an architecture that automates video analysis by using Azure Machine Learning and Computer Vision."
"ai-ml\architecture\analyze-video-computer-vision-machine-learning.yml","24","metadata","summary: Learn how to implement an architecture that automates video analysis by using Azure Machine Learning and Computer Vision.","name: Perform video analysis by using Azure Machine Learning and Computer Vision","thumbnailUrl: /azure/architecture/browse/thumbs/analyze-video-thumb.png"
"ai-ml\guide\data-science-and-machine-learning.md","111","inline","As part of the Microsoft Azure ecosystem, Azure AI Foundry provides robust tools and services that cater to various AI and machine learning needs, including natural language processing and computer vision. Its integration with other Azure services helps ensure scalability and performance, which makes it an ideal option for enterprises.","",""
"ai-ml\guide\machine-learning-operations-v2.md","18","inline","- Computer vision (CV)","- Classical machine learning","- Natural language processing"
"ai-ml\guide\machine-learning-operations-v2.md","149","alt-text",":::image type=""content"" source=""_images/computer-vision-architecture.png"" lightbox=""_images/computer-vision-architecture.png"" alt-text=""Diagram that shows the computer vision architecture."" border=""false"":::","",""
"ai-ml\idea\intelligent-apps-image-processing-content.md","3","service-reference","By using Azure services, such as the Computer Vision API and Azure Functions, companies can eliminate the need to manage individual servers, while reducing costs and utilizing the expertise that Microsoft has already developed with processing images with Azure AI services. This solution idea specifically addresses an image-processing use case. If you have different AI needs, consider the full suite of [Azure AI services](/azure/ai-services/what-are-ai-services).","",""
