"File","Line","Type","Text","Prev","Next"
"ai-ml\architecture\analyze-video-computer-vision-machine-learning-content.md","17","inline","6. The logic app calls a pretrained custom vision model to identify objects, features, or qualities in the images. Alternatively or additionally, it calls a computer vision (optical character recognition (OCR)) model to identify textual information in the images.","5. A preconfigured logic app that monitors Data Lake Storage detects that new images are being uploaded. It starts a workflow.","7. Results are received in JSON format. The logic app parses the results and creates key-value pairs. You can store the results in Azure dedicated SQL pools that are provisioned by Azure Synapse Analytics."
"ai-ml\architecture\analyze-video-computer-vision-machine-learning-content.md","31","service-reference","- [Custom Vision](/azure/ai-services/custom-vision-service/overview) enables you to customize and embed state-of-the-art computer vision image analysis for your specific domains. In this architecture, it identifies domain-specific objects or qualities in the extracted video frames.","",""
"ai-ml\guide\azure-openai-gateway-custom-authentication-content.md","217","inline","An example of how a gateway is being used in Azure to offload identity to an intermediary is the Azure AI Services resource. In that implementation, you authenticate to the gateway, and the gateway handles authenticating to the differing Azure AI services such as Custom Vision or Speech. While that implementation is similar, it does not address this scenario.","",""
"ai-ml\idea\intelligent-apps-image-processing-content.md","36","service-reference","- [Custom Vision Service](/azure/ai-services/custom-vision-service/overview). The Computer Vision API returns a set of [taxonomy-based categories][cv-categories]. If you need to process information that isn't returned by the Computer Vision API, consider the Custom Vision Service, which lets you build custom image classifiers. To learn about this service, follow the quick start [Build an image classification model with the Custom Vision](/azure/ai-services/custom-vision-service/getting-started-build-a-classifier).","- [Azure OpenAI GPT-4o and GPT-4o-mini](/azure/ai-services/openai/concepts/gpt-with-vision). GPT-4o and GPT-4o-mini are multimodal chat models from OpenAI that can answer general questions about what's present in the images you provide.","- [Azure AI Search](/azure/search/search-what-is-azure-search). If your use case involves querying the metadata to find images that meet specific criteria, consider using Azure AI Search."
"ai-ml\idea\intelligent-apps-image-processing-content.md","71","link","- [Classify images with Azure AI Custom Vision](/training/modules/classify-images-custom-vision/)","- [Build a serverless web app in Azure][serverless]","- [Use AI to recognize objects in images by using the Custom Vision service](/training/modules/train-custom-vision-ai/)"
"ai-ml\idea\intelligent-apps-image-processing-content.md","72","service-reference","- [Use AI to recognize objects in images by using the Custom Vision service](/training/modules/train-custom-vision-ai/)","- [Classify images with Azure AI Custom Vision](/training/modules/classify-images-custom-vision/)","- [Classify endangered bird species with Custom Vision](/training/modules/cv-classify-bird-species/)"
"ai-ml\idea\intelligent-apps-image-processing-content.md","73","link","- [Classify endangered bird species with Custom Vision](/training/modules/cv-classify-bird-species/)","- [Use AI to recognize objects in images by using the Custom Vision service](/training/modules/train-custom-vision-ai/)","- [Classify images with Azure AI Custom Vision services](/training/modules/classify-images/)"
"ai-ml\idea\intelligent-apps-image-processing-content.md","74","service-reference","- [Classify images with Azure AI Custom Vision services](/training/modules/classify-images/)","- [Classify endangered bird species with Custom Vision](/training/modules/cv-classify-bird-species/)","- [Detect objects in images with Azure AI Custom Vision](/training/modules/detect-objects-images-custom-vision/)"
"ai-ml\idea\intelligent-apps-image-processing-content.md","75","link","- [Detect objects in images with Azure AI Custom Vision](/training/modules/detect-objects-images-custom-vision/)","- [Classify images with Azure AI Custom Vision services](/training/modules/classify-images/)",""
"aws-professional\data-ai.md","154","service-reference","| [Amazon Rekognition](https://aws.amazon.com/rekognition/)               | [Azure AI Vision](/azure/ai-services/computer-vision/overview/) with [Azure AI Custom Vision](/azure/ai-services/custom-vision-service/overview/)  | Amazon Rekognition is a computer vision service for image and video analysis. It provides object detection, facial recognition, and text extraction. Azure AI Vision delivers prebuilt models for image and video understanding. You can use Custom Vision to train domain-specific models with your own data. |","|  -------  | ------  |--|","| [Amazon Polly](https://aws.amazon.com/polly/) | [Azure AI Speech text-to-speech](https://azure.microsoft.com/products/ai-services/ai-speech) | Amazon Polly is a text-to-speech service that converts text into lifelike speech by using neural voices across multiple languages. AI Speech text-to-speech provides high-quality neural voices, real-time streaming, and batch synthesis for applications such as voice assistants, interactive voice response (IVR) systems, and accessibility solutions. AI Speech also supports custom neural voice creation to build unique, brand-specific voices while maintaining enterprise-grade security and compliance. |"
"data-guide\ai-services\image-video-processing.md","42","link","- [Microsoft Azure AI Custom Vision](#custom-vision)","",""
"data-guide\ai-services\image-video-processing.md","44","inline","- **Use** Custom Vision for specific requirements that can't be met by the image analysis that Vision provides. For example, Custom Vision can recognize unusual objects and manufacturing defects. It can also provide detailed custom classifications.","",""
"data-guide\ai-services\image-video-processing.md","46","inline","- **Don't use** Custom Vision if you need basic object detection or face detection. Use Azure AI Face or Vision instead.","",""
