"Azure Well-Architected Review - Sep 2, 2021 - 4:17:04 PM",,,,,
,,,,,
Recommendations for your workload,,,,,
Your overall results,Critical,'2/100',,,
Security,Critical,'4/100',,,
Cost Optimization,Critical,'0/100',,,
Reliability,Not assessed,,,,
Operational Excellence,Not assessed,,,,
Performance Efficiency,Not assessed,,,,
,,,,,
Next Steps,,,,,
Review identify and classify business critical applications,https://docs.microsoft.com/azure/architecture/framework/Security/applications-services#identify-and-classify-business-critical-applications,,,,
Review prefer identity authentication over keys,https://docs.microsoft.com/azure/architecture/framework/security/design-identity-authentication#use-identity-based-authentication,,,,
Implement resource tagging,https://docs.microsoft.com/azure/architecture/framework/cost/design-governance#enforce-resource-tagging,,,,
,,,,,
Category,Link-Text,Link,Priority,ReportingCategory,ReportingSubcategory,Weight,Context
Security,Storage account should use a private link connection for 4 Storage Account(s),https://aka.ms/azure-advisor-portal,High,,,0,
Security,Log Analytics agent should be installed on your virtual machine for 1 Virtual machine(s),https://aka.ms/azure-advisor-portal,High,,,0,
Security,Management ports of virtual machines should be protected with just-in-time network access control for 1 Virtual machine(s),https://aka.ms/azure-advisor-portal,High,,,0,
Security,Secure transfer to storage accounts should be enabled for 3 Storage Account(s),https://aka.ms/azure-advisor-portal,High,,,0,
Security,Azure Defender for DNS should be enabled for 1 Subscription(s),https://aka.ms/azure-advisor-portal,High,,,0,
Security,Azure Defender for Resource Manager should be enabled for 1 Subscription(s),https://aka.ms/azure-advisor-portal,High,,,0,
Security,There should be more than one owner assigned to your subscription for 1 Subscription(s),https://aka.ms/azure-advisor-portal,High,,,0,
Security,All network ports should be restricted on network security groups associated to your virtual machine for 1 Virtual machine(s),https://aka.ms/azure-advisor-portal,High,,,0,
Security,Adaptive network hardening recommendations should be applied on internet facing virtual machines for 1 Virtual machine(s),https://aka.ms/azure-advisor-portal,High,,,0,
Security,"Virtual machines should encrypt temp disks, caches, and data flows between Compute and Storage resources for 1 Virtual machine(s)",https://aka.ms/azure-advisor-portal,High,,,0,
Security,Management ports should be closed on your virtual machines for 1 Virtual machine(s),https://aka.ms/azure-advisor-portal,High,,,0,
Security,A vulnerability assessment solution should be enabled on your virtual machines for 1 Virtual machine(s),https://aka.ms/azure-advisor-portal,High,,,0,
Security,Storage accounts should restrict network access using virtual network rules for 4 Storage Account(s),https://aka.ms/azure-advisor-portal,High,,,0,
Security,Network traffic data collection agent should be installed on Linux virtual machines for 1 Virtual machine(s),https://aka.ms/azure-advisor-portal,High,,,0,
Security,Private endpoint should be enabled for MySQL servers for 1 MySQL server(s),https://aka.ms/azure-advisor-portal,High,,,0,
Security,Public network access should be disabled for MySQL servers for 1 MySQL server(s),https://aka.ms/azure-advisor-portal,High,,,0,
Security,Storage account public access should be disallowed for 4 Storage Account(s),https://aka.ms/azure-advisor-portal,High,,,0,
Security,Guest Configuration extension should be installed on your machines for 1 Virtual machine(s),https://aka.ms/azure-advisor-portal,High,,,0,
Security,Enforce SSL connection should be enabled for MySQL database servers for 1 MySQL server(s),https://aka.ms/azure-advisor-portal,High,,,0,
Security,Configure emergency access accounts,https://docs.microsoft.com/azure/active-directory/roles/security-emergency-access,High,Operational Model & DevOps,Roles & Responsibilities,100,"While rare, sometimes extreme circumstances arise where all normal means of administrative access are unavailable and for this reason emergency access accounts (also refered to as 'break glass' accounts) should be available. These accounts are strictly controlled in accordance with best practice guidance, and they are closely monitored for unsanctioned use to ensure they are not compromised or used for nefarious purposes."
Security,Implement threat protection for the workload,https://docs.microsoft.com/azure/security-center/azure-defender,High,Application Design,Threat Analysis,100,"Enterprise workloads are subjected to many threats that can jeopardize confidentiality, availability, or integrity and should be protected with advanced security solutions."
Security,Implement security strategy to contain attacker access,https://docs.microsoft.com/azure/architecture/framework/security/resilience#containing-attacker-access,High,Application Design,Application Design,90,"The actual security risk for an organization is heavily influenced by how much access an adversary can or does obtain to valuable systems and data. For example, when each user only has a focused scope of permissions assigned to them, the impact of compromising an account will be limited."
Security,Adopt a zero trust approach,https://docs.microsoft.com/azure/security/fundamentals/network-best-practices?bc=%2fazure%2farchitecture%2fbread%2ftoc.json&toc=%2fazure%2farchitecture%2ftoc.json#adopt-a-zero-trust-approach,High,Networking & Connectivity,Data flow,90,"Data exfiltration occurs when an internal/external malicious actor performs an unauthorized data transfer. The solution should leverage a layered approach such as hub/spoke for network communications with deep packet inspection to detect/protect from data exfiltration attack. Azure Firewall, UDR (User-defined Routes), NSG (Network Security Groups), Key Protection, Data Encryption, PrivateLink, and Private Endpoints are layered defenses for a data exfiltration attack. Azure Sentinel and Azure Security Center can be used to detect data exfiltration attempts and alert incident responders."
Security,Implement a branch policy strategy to enhance DevOps security,https://docs.microsoft.com/azure/architecture/framework/security/deploy-governance#gated-approval-process,High,Deployment & Testing,Application Code Deployments,90,"Branch policies provide additional level of control over the code which is commited to the product. It is a common practice to not allow pushing against the main branch and require pull-request (PR) with code review before merging the changes by at least one reviewer, other than the change author. Different branches can have different purposes and access levels, for example: feature branches are created by developers and are open to push, integration branch requires PR and code-review and production branch requires additional approval from a senior developer before merging."
Security,Classify your data at rest and use encryption,https://docs.microsoft.com/azure/architecture/framework/security/design-storage-encryption#data-at-rest,High,Security & Compliance,Encryption,90,"This includes all information storage objects, containers, and types that exist statically on physical media, whether magnetic or optical disk.  All data should be classified and encrypted with an encryption standard. It should also be tagged so that it can be audited."
Security,Establish a detection and response strategy for identity risks,https://docs.microsoft.com/azure/architecture/framework/security/monitor-identity-network#review-identity-risks,High,Health Modeling & Monitoring,Application Level Monitoring,90,"Most security incidents take place after an attacker initially gains access using a stolen identity. These identities can often start with low privileges, but attackers then use that identity to traverse laterally and gain access to more privileged identities. This repeats as needed until the attacker controls access to the ultimate target data or systems. Reported risk events for Azure AD can be viewed in Azure AD reporting, or Azure AD Identity Protection. Additionally, the Identity Protection risk events API can be used to programmatically access identity related security detections using Microsoft Graph."
Security,Adopt a formal DevSecOps approach to building and maintaining software,https://docs.microsoft.com/azure/architecture/framework/security/deploy,High,Operational Model & DevOps,General,90,"The DevOps approach increases the organization's ability to rapidly address security concerns without waiting for a longer planning and testing cycle of traditional waterfall model. Key attributes are: automation, close integration of infra and dev teams, testability and reliability and repeatability of deployments."
Security,Scan container workloads for vulnerabilities,https://docs.microsoft.com/azure/security-center/container-security,High,Deployment & Testing,Testing & Validation,90,"Azure Security Center is the Azure-native solution for securing containers. Security Center can protect virtual machines that are running Docker, Azure Kubernetes Service clusters, Azure Container Registry registries. ASC is able to scan container images and identify security issues, or provide real-time threat detection for containerized environments."
Security,Establish a security operations center (SOC),https://docs.microsoft.com/azure/architecture/framework/security/security-operations,High,Operational Procedures,Incident Response,90,"A SOC has a critical role in limiting the time and access an attacker can get to valuable systems and data.  In addition, it provides the vital role of detecting the presence of adversaries, reacting to an alert of suspicious activity, or proactively hunting for anomalous events in the enterprise activity logs."
Security,Implement Conditional Access Policies,https://docs.microsoft.com/azure/architecture/framework/security/design-identity-authentication#enable-conditional-access,High,Security & Compliance,Authentication and authorization,90,"Modern cloud-based applications are often accessible over the internet and location-based networking restrictions don't make much sense, but it needs to be mapped and understood what kind of restrictions are required. Multi-factor Authentication (MFA) is a necessity for remote access, IP-based filtering can be used to enable ad-hoc debugging, but VPNs are preferred."
Security,Implement established processes and timelines to deploy mitigations for identified threats,https://docs.microsoft.com/azure/architecture/framework/security/design-threat-model#3--mitigate-the-identified-threats,High,Application Design,Threat Analysis,90,Fixing identified vulnerabilities in a timely manner helps staying secure and preventing additional attack vectors.
Security,"Restrict access to backend services to a minimal set of public IP addresses, only those who really need it",https://docs.microsoft.com/azure/architecture/framework/security/design-network-connectivity#communication-with-backend-services,High,Networking & Connectivity,Connectivity,90,Web applications typically have one public entrypoint and don't expose subsequent APIs and database servers over the internet. When using gateway services like Azure Front Door it's possible to restrict access only to a set of Front Door IP addresses and lock down the infrastructure completely.
Security,Protect all public endpoints with appropriate controls,https://docs.microsoft.com/azure/architecture/framework/security/design-network-endpoints#web-application-firewalls-wafs,High,Networking & Connectivity,Endpoints,90,"External application endpoints should be protected against common attack vectors, such as Denial of Service (DoS) attacks like Slowloris, to prevent potential application downtime due to malicious intent. Azure-native technologies such as Azure Firewall, Application Gateway/Azure Front Door Web Application Firewall (WAF), and DDoS Protection Standard Plan can be used to achieve requisite protection."
