Pillar,Category,Description
Cost Optimization,Survey Level Group,A cost-effective workload is driven by business goals and the return on investment (ROI) while staying within a given budget. The principles of cost optimization are a series of important considerations that can help achieve both business objectives and cost justification. A capability program will enable you to begin optimizing the core components needed to manage your cloud environment.
Cost Optimization,Cost Model,Cost modeling is an exercise where you create logical groups of cloud resources that are mapped to the organization's hierarchy and then estimate costs for those groups. The goal of cost modeling is to estimate the overall cost of the organization in the cloud.
Cost Optimization,Architecture Design,"Break down high-level goals into functional requirements. For each of those requirements, define metrics to calculate cost estimates accurately. Cloud services are priced based on performance, features, and locations. When defining these metrics, identify acceptable boundaries of performance, scale, resilience, and security. Start by expressing your goals in number of business transactions over time, breaking them down to fine-grain requirements."
Cost Optimization,Monitor,"The goal of cost monitoring is to review cloud spend with the intent of establishing cost controls and preventing any misuse. The organization should adopt both proactive and reactive review approaches for monitoring cost. Effective cost reviews must be conducted by accountable stakeholders at a regular cadence. The reviews must be complemented with reactive cost reviews, for example when a budget limit causes an alert."
Cost Optimization,Optimize,Continually monitor and apply the right resources and sizes to workloads to achieve the most value for the services.
Operational Excellence,Survey Level Group,
Operational Excellence,Applications Design,"Application design for DevOps is critical to the success of cloud transformation.  Designing an application requires putting in place concepts and procedures within application code, application services, and the application hosting platform."
Operational Excellence,Health Modeling,"Health Modeling allows to define, capture, and analyze workload application metrics to gain insights to workload events so appropriate action can take place. Understanding  the health of your workload should be repeatable and easily digestible by all teams."
Operational Excellence,Operational Procedures,Operational Procedures allows your application running in the Cloud as crucial. These procedures allows to monitor and diagnose application performance and issues on the Cloud.
Operational Excellence,Deployment & Testing,"Deployment & Testing for DevOps allows to quickly provision dev/test and pre-production environments to deliver quality products, applications, and services. This model define an set of practices that combine software development and IT operations, to shorten the development cycle and provide continuous delivery with high quality."
Operational Excellence,Operational Model & DevOps,"Operational Model & DevOps is to clarify cloud operating models and the considerations that impact your cloud adoption strategy. Understanding your strategic direction, people organization, and governance, risk, and compliance (GRC) needs can help define your future state cloud operating model."
Performance Efficiency,Survey Level Group,"Performance efficiency is the ability of your workload to scale to meet the demands placed on it by users in an efficient manner. Just as you needed to anticipate increases in load in on-premises environments, you need to anticipate increases in cloud environments to meet business requirements."
Performance Efficiency,Application Design,"Application design is critical to handling scale as load increases. It involves choosing the right data storage, database considerations, VM sizing, building with microservices and establishing connection pooling."
Performance Efficiency,Capacity Planning,"Plan for fluctuation in expected load that can occur because of world events. Test variations of load before the events, including unexpected ones, to ensure that your application can scale. Make sure all regions can adequately scale to support total load, if a region fail."
Performance Efficiency,Monitoring,"Troubleshooting an application's performance requires monitoring and reliable investigation. Issues in performance can arise from database queries, connectivity between services, under-provision resources, or memory leaks in code. Continuously monitoring services and checking the health state of current workloads is key in maintaining the overall performance of the workload."
Performance Efficiency,Performance Testing,"Performance testing helps to maintain systems properly and fix defects before problems reach system users. It helps maintain the efficiency, responsiveness, scalability, and speed of applications when compared with business requirements. When done effectively, performance testing should give you the diagnostic information necessary to eliminate bottlenecks, which lead to poor performance. A bottleneck occurs when data flow is either interrupted or stops due to insufficient capacity to handle the workload."
Performance Efficiency,Troubleshooting,"Issues in performance can arise from database queries, connectivity between services, under-provision resources, or memory leaks in code. Application telemetry and profiling can be useful tools for troubleshooting your application."
Reliability,Survey Level Group,
Reliability,Application Design,Maturity description for Application Design
Reliability,Resiliency & Recovery,Maturity description for Resiliency & Recovery
Reliability,Capacity & Service Availability,Maturity description for Capacity & Service Availability
Reliability,Application Platform Availability,Maturity description for Application Platform Availability
Reliability,Data Platform Availability,Maturity description for Data Platform Availability
Reliability,Networking & Connectivity,Maturity description for Networking & Connectivity
Reliability,Scalability & Performance,Maturity description for Scalability & Performance
Reliability,Security & Compliance,Maturity description for Security & Compliance
Reliability,Site Reliability Engineering & DevOps,Maturity description for Site Reliability Engineering & DevOps
Security,Survey Level Group,"Assuring confidentiality, availability, and integrity of your Azure workload involves investing in security throughout the entire lifecycle of an application, from design and implementation to deployment and operations. A Well-Architected security maturity program w
ill enable you to begin optimizing the security of your workload and enhance your confidentiality, availability, and integrity assurances."
Security,Application Design,"Application design for security is critical to ensuring confidentiality, availability, and integrity of cloud workloads. Designing an application requires putting in place security concepts and procedures within application code, application services, and the application hosting platform."
Security,Health Modelling & Monitoring,"Health Modeling & Monitoring allows to define, capture, and analyze workload application security metrics to gain insights to workload security events so appropriate action can take place. Understanding the security of your workload should be repeatable and easily digestible by all teams."
Security,Networking & Connectivity,"Network security considerations include strong network controls, logically segmentation, zero-trust approach, optimal routing, virtual appliance use, perimeter networks, dedicated WAN links, optimal uptime, disabling external access for common protocols, and securing critical Azure services to only required networks."
